location_id,depth,Unit,sample_id,d13C,d15N,C,N,C/N,LOI,MS,Hg,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Zr,Mo,Ag,Cd,Sn,Sb,W,Pb,Bi,Se,Rb,Sr,Y,Nb,Ba,La,Ce,Pr,Nd,Sm,Hg-XRF,Th,U,Fe/Mn
LL PC2,48,Unit 2,LL 85,-26.56,4.6,40.52,1.67,24.3,,,,603,4977,897,2107,19980,1828,201,100,118,3836,2,ND,ND,23,6,95,ND,40,ND,12,ND,ND,8,ND,3,15,379,72,14,2344,36,198,ND,866,15,ND,282,25,32.50847458
LL PC2,53,Unit 2,LL 80 A,-27.03,2.28,44.35,1.47,30.17,83.78378378,,,ND,7817,595,1693,33191,1600,219,74,109,1681,0,ND,9,15,6,99,ND,48,ND,1,ND,ND,5,ND,6,12,533,61,19,2399,74,179,ND,208,28,ND,90,28,15.42201835
LL PC2,53,Unit 2,LL 80 B,,,,,,85,,,76,7349,488,2528,30073,1964,241,106,135,3562,1,ND,15,12,3,105,ND,52,2,8,1,ND,8,ND,8,14,539,72,19,2467,26,159,ND,552,16,ND,165,33,26.38518519
LL PC2,53,Unit 2,LL 80 C1,,,,,,,,,ND,11476,1102,1230,37542,1610,231,77,119,1801,1,ND,20,1,12,79,ND,46,ND,2,ND,ND,4,ND,9,10,564,68,20,2489,43,189,ND,748,28,ND,153,35,15.13445378
LL PC2,53,Unit 2,LL 80 C2,,,,,,,,,ND,12091,1227,1231,37787,1610,232,79,118,1816,1,3,21,3,8,77,ND,49,2,ND,ND,ND,4,ND,9,10,565,68,21,2437,39,113,ND,770,18,ND,92,33,15.38983051
LL PC2,53,Unit 2,LL 80 C3,,,,,,,,,ND,12338,1091,1220,37561,1591,229,85,112,1832,1,ND,19,2,8,84,ND,52,ND,ND,2,ND,4,ND,9,9,571,68,20,2498,23,168,ND,624,5,ND,101,34,16.35714286
LL PC2,58,Unit 2,LL 75,,,,,,,,,ND,11250,146,1056,35004,1268,191,48,111,2944,1,ND,5,24,7,52,ND,47,1,4,ND,ND,0,ND,3,10,528,42,21,2162,ND,98,ND,611,54,ND,88,18,26.52252252
LL PC2,58,Unit 2,LL-75,,,,,,86.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,63,Unit 2,LL 70,-27.36,0.16,50.27,2.06,24.39,,,,ND,10174,ND,288,28169,664,119,13,74,388,ND,ND,ND,9,16,9,2,44,ND,0,0,ND,ND,ND,ND,11,440,19,31,1302,28,ND,ND,174,21,ND,ND,7,5.243243243
LL PC2,64,Unit 2,LL-69,,,,,,95.23809524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,68,Unit 2,LL 65,,,,,,100,,,ND,7990,20165,315,25429,668,100,8,76,569,ND,ND,ND,34,21,9,3,33,ND,13,ND,ND,ND,ND,ND,11,362,16,32,1037,ND,ND,ND,179,18,ND,ND,5,7.486842105
LL PC2,73,Unit 2,LL 60 A,-27.01,0.02,51.61,2.1,24.56,95,,,ND,8818,68,331,28376,631,116,9,84,1355,0,ND,ND,19,26,7,4,42,ND,3,ND,ND,ND,ND,ND,9,337,20,37,947,ND,14,ND,402,13,ND,ND,19,16.13095238
LL PC2,73,Unit 2,LL 60 B,,,,,,95.65217391,,,ND,9056,8764,648,27143,707,105,14,84,3326,1,ND,ND,41,25,10,4,39,ND,11,ND,ND,ND,ND,ND,9,324,17,34,874,ND,87,ND,198,11,ND,ND,11,39.5952381
LL PC2,73,Unit 2,LL 60 C1,,,,,,,,,ND,10385,6123,280,30362,649,108,12,85,3268,1,ND,ND,ND,35,4,4,40,ND,9,ND,ND,ND,ND,ND,7,352,19,32,977,ND,116,ND,386,32,ND,ND,27,38.44705882
LL PC2,73,Unit 2,LL 60 C2,,,,,,,,,ND,10462,5905,310,30067,643,110,11,85,3249,1,ND,ND,ND,35,2,5,28,ND,16,ND,ND,ND,ND,ND,8,353,18,34,988,ND,ND,ND,ND,15,ND,10,28,38.22352941
