labID,age,error,depth,cc
LL-082011-C2-124,623,34,9,1
UOC-0845,575,18,37.3,1
LL-082011-C2-87,4396,55,46,1
UOC-0844,8482,28,70.5,1
LL-082011-C2-39,9148,49,94,1
