location_id,depth,Unit,sample_id,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,Sm,W,Hg-XRF,Pb,Bi,Th,U,LOI,Fe/Mn
LL GC10,6.75,Unit 3,LL10-12,ND,3120,938,14735,5303,4988,84,66,746,31366,12,ND,12,133,24,ND,88,133,32,364,26,2,19,ND,ND,ND,397,ND,58,ND,129,9,ND,3,29,ND,105,2,25,42.04557641
LL GC10,5.25,Unit 3,LL10-13A,ND,2450,872,13583,5091,4723,82,61,757,33052,14,ND,10,118,32,ND,87,150,34,387,29,ND,20,ND,8,ND,412,ND,57,ND,ND,22,ND,3,25,ND,103,2,25.80645161,43.66182299
LL GC10,5.25,Unit 3,LL10-13B,ND,2352,943,13999,5547,4727,83,65,802,34555,12,ND,14,135,19,ND,89,153,35,377,29,0,17,ND,2,ND,355,ND,131,ND,ND,19,ND,1,32,ND,119,4,ND,43.08603491
LL GC10,5.25,Unit 3,LL10-13C,ND,2940,961,13529,5199,4721,79,66,765,32423,14,ND,12,123,25,ND,91,147,33,389,28,ND,21,ND,ND,ND,396,ND,ND,ND,217,68,ND,2,28,ND,93,2,ND,42.38300654
LL GC10,3.75,Unit 3,LL10-14,ND,2625,1192,12915,6779,4411,85,55,964,35515,13,ND,14,115,26,ND,90,143,32,343,27,3,12,ND,2,ND,399,21,116,ND,50,57,ND,2,28,ND,99,1,26.92307692,36.84128631
LL GC10,2.25,Unit 3,LL10-15,ND,2486,1061,14572,5545,4858,88,65,929,39732,15,ND,23,143,30,ND,93,135,31,346,27,ND,12,ND,ND,ND,391,13,1,ND,144,ND,0,1,27,ND,121,1,,42.76856835
LL GC10,0.75,Unit 3,LL10-16A,ND,3147,1219,13802,6563,4624,76,73,1079,35702,15,ND,14,117,16,ND,90,148,34,355,28,1,28,ND,2,ND,393,98,180,ND,4,22,2,1,28,ND,98,4,21.875,33.08804449
LL GC10,0.75,Unit 3,LL10-16B,ND,2643,1197,13923,5476,4655,81,64,860,38631,15,ND,29,138,22,ND,92,152,35,356,29,ND,23,ND,13,ND,402,16,113,ND,205,3,ND,2,26,ND,110,4,20.68965517,44.91976744
LL GC10,0.75,Unit 3,LL10-16C,ND,2547,1054,13759,5772,4547,85,63,972,42286,16,ND,8,133,40,ND,98,168,34,395,38,ND,24,ND,ND,3,353,29,110,ND,ND,63,1,6,25,ND,118,2,20,43.50411523
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
